x,y,z,yaw
89648.7889926,43183.8317625,0,0
89650.6501943,43184.4989333,0,0
89652.5645188,43185.1281735,0,0
89654.5047138,43185.597445,0,0
89656.5611552,43185.7952186,0,0
89658.5553979,43185.5541575,0,0
89660.2458562,43184.7232997,0,0
89661.5684813,43183.2461104,0,0
89662.11321,43181.3526966,0,0
89661.5458183,43179.7059734,0,0
89659.9549214,43178.2585652,0,0
89658.1867858,43177.309776,0,0
89656.3043811,43176.6147966,0,0
89654.4770191,43175.9826569,0,0
89652.6425774,43175.1412364,0,0
89651.0141768,43174.1396118,0,0
89649.3815467,43172.7759579,0,0
89648.0054868,43171.2090394,0,0
89647.2944886,43169.3930916,0,0
89647.2362186,43167.5798982,0,0
89647.9177838,43165.6843397,0,0
89648.906547,43163.984636,0,0
89650.3471401,43162.5920429,0,0
89652.0973991,43161.5827482,0,0
89653.996368,43161.0247266,0,0
89655.9880784,43160.8789068,0,0
89658.0430069,43161.229751,0,0
89659.8149402,43161.9978674,0,0
89661.3244332,43162.8149524,0,0
89663.0193136,43164.1834116,0,0
89664.3663519,43165.7521368,0,0
89665.9119864,43167.2909503,0,0
89667.3162511,43168.3314353,0,0
89669.1731668,43168.893563,0,0
89671.1537876,43168.841531,0,0
89673.0548335,43168.3159271,0,0
89674.9199506,43167.4357848,0,0
89676.4895479,43166.207282,0,0
89677.7416703,43164.6736748,0,0
89678.6300184,43162.8893102,0,0
89679.1345115,43160.9659585,0,0
89679.2513009,43158.9458088,0,0
89678.9764085,43156.9948512,0,0
89678.2765424,43155.0663818,0,0
89677.1926671,43153.4303075,0,0
89675.7919729,43152.1176983,0,0
89674.0911059,43151.0627304,0,0
89672.2594116,43150.2368306,0,0
89670.5330182,43149.4599744,0,0
89668.675276,43148.5964832,0,0
89666.8241779,43147.8023277,0,0
89664.9060101,43146.9545997,0,0
89663.1730219,43146.1144271,0,0
89661.3991713,43145.1264084,0,0
89659.8345132,43143.9921671,0,0
89658.4984161,43142.5920942,0,0
89657.4430276,43140.8675205,0,0
89656.7566057,43138.9875437,0,0
89656.3242844,43137.0177825,0,0
89656.037316,43135.0375922,0,0
89655.7631365,43133.0279777,0,0
89655.4173891,43131.0583212,0,0
89654.9391269,43129.1565366,0,0
89654.235047,43127.302228,0,0
89653.1064801,43125.6566362,0,0
89651.6855457,43124.298988,0,0
89649.9857055,43123.3234544,0,0
89648.0620278,43122.7806389,0,0
89646.044473,43122.6823887,0,0
89644.0747315,43122.9802598,0,0
89642.1631321,43123.6032356,0,0
89640.3515902,43124.4471719,0,0
89638.6235533,43125.4029107,0,0
89636.9149691,43126.3785631,0,0
89635.1615379,43127.3494624,0,0
89633.4787779,43128.3171686,0,0
89631.7594637,43129.4058462,0,0
89630.1186539,43130.5615053,0,0
89628.5101955,43131.8066425,0,0
89627.0211824,43133.0924366,0,0
89625.6010279,43134.5161353,0,0
89624.3456694,43136.0297732,0,0
89623.1982468,43137.6573852,0,0
89622.1277907,43139.3323056,0,0
89621.0851761,43141.0312464,0,0
89620.0279248,43142.7326816,0,0
89618.9384325,43144.4024619,0,0
89617.8114348,43146.0567803,0,0
89616.6980095,43147.702665,0,0
89615.650553,43149.4170157,0,0
89614.7955339,43151.1831775,0,0
89614.1888304,43153.0951277,0,0
