x,y,z,yaw
89665.4773843,43167.1502373,0,0
89666.915949,43168.2813175,0,0
89668.5890062,43169.0575121,0,0
89670.6254834,43169.1537738,0,0
89672.5471602,43168.7141297,0,0
89674.4179008,43167.9686377,0,0
89676.1078265,43166.8721176,0,0
89677.4904592,43165.4585194,0,0
89678.5297408,43163.7740586,0,0
89679.1949819,43161.9022565,0,0
89679.4867379,43159.9240861,0,0
89679.3844445,43157.908141,0,0
89678.8896479,43155.9457151,0,0
89678.040546,43154.1973653,0,0
89676.8153463,43152.6801698,0,0
89675.2891529,43151.4188934,0,0
89673.5333161,43150.4577494,0,0
89671.6853787,43149.718718,0,0
89669.9274262,43149.0019164,0,0
89668.0467313,43148.2590512,0,0
89666.1356372,43147.5281828,0,0
89664.2197987,43146.7551606,0,0
89662.4312596,43145.9461355,0,0
89660.7357357,43144.9957412,0,0
89659.2025382,43143.7472635,0,0
89657.9730942,43142.2479198,0,0
89657.0708923,43140.4643718,0,0
89656.5052895,43138.5169388,0,0
89656.1951564,43136.5454929,0,0
89655.9959463,43134.5440752,0,0
89655.7897942,43132.5633197,0,0
89655.4809211,43130.5814997,0,0
89655.0165727,43128.6627751,0,0
89654.2679668,43126.8370439,0,0
89653.0916495,43125.2534409,0,0
89651.6087355,43123.9367072,0,0
89649.8789487,43123.0166429,0,0
89647.9539724,43122.5245255,0,0
89645.9408798,43122.4656911,0,0
89643.9815202,43122.7953596,0,0
89642.0828176,43123.4465093,0,0
89640.2866421,43124.3171381,0,0
89638.5781433,43125.3014591,0,0
89636.8922141,43126.3105115,0,0
89635.1658465,43127.312322,0,0
89633.5001702,43128.3076937,0,0
89631.8011646,43129.4193736,0,0
89630.1806684,43130.5965879,0,0
89628.5955371,43131.8627723,0,0
89627.1290422,43133.1718895,0,0
89625.7380812,43134.6158445,0,0
89624.508426,43136.1477507,0,0
89623.3836029,43137.787274,0,0
89622.3302984,43139.4693053,0,0
89621.2992619,43141.1714126,0,0
89620.2481509,43142.8709119,0,0
89619.1571881,43144.5347267,0,0
89618.0205356,43146.1769211,0,0
89616.8857258,43147.8051339,0,0
89615.8013228,43149.4929891,0,0
89614.8886374,43151.2296293,0,0
89614.2109582,43153.1095289,0,0
